,Ticker,Shares
1,MON,2370.487101175035
2,MO,492.1057149056014
3,SO,329.9015946824612
4,CL,282.30057993556886
5,PG,145.90379991859837
6,PM,215.1185550472278
7,CVS,209.17845046753513
8,PFE,424.88248858795805
9,NEE,242.35307394105956
10,BMY,256.73860584002585
11,T,1059.761644097816
12,UNH,37.86215625854239
13,ABBV,124.73227539924522
14,ORCL,240.80762945329954
15,KO,314.6445894904839
16,PEP,106.00144596837316
17,UNP,90.6689948181925
18,COST,35.887542058151794
19,MRK,179.56873299941304
20,LMT,38.963801336799605
21,UPS,101.56109299120516
22,TXN,101.30860707172594
23,KMI,953.4821328046147
24,LLY,48.91904841153689
25,BA,100.20080821086695
